118,Title,Topic title,WI,Topic areas,AI covered in the topic thread,Summary agenda,6G Feature lead/5G Moderator,Notes,Samsung Major Responsibility,Work Level if monitoring
100,Main Session,[118][100] Main Session,N.A,N.A,N.A,"2, 3",Yang Tang,"Chair announcements for main session, such as meeting report update, meeting schedule and etc.", ,
6G SI,,,,,,,,,,
101-A,6G system parameter (part I),[118][101-A] 6G system parameter (part I),FS_6G_Radio,"6G system parameter: waveform (including PA model), channel bandwidth, others",8.2,8.1,Leo Liu, ,Taekhoon / Jackson / Lili,
101-B,6G system parameter (part II),[118][101-B] 6G system parameter (part II),FS_6G_Radio,"6G system parameter: modulation, channel arrangement, min max CBW for device type",8.2,8.1,"Jinqiang Xing
", ,Taekhoon / Jackson / Lili,
102-A,6G general RF and UE RF (part I),[118][102-A] 6G general RF and UE RF (part I),FS_6G_Radio,"6G general RF and UE RF: output power requirements, Tx/Rx requirements",8.3,8.1,Toni Laehteensuo , ,Tina / Bozhi / Taekhoon,
102-B,6G general RF and UE RF (part II),[118][102-B] 6G general RF and UE RF (part II),FS_6G_Radio,"6G general RF and UE RF: joint UE-BS RF, spectrum aggregation, others",8.3,8.1,"Haijie Qiu
", ,Tina / Bozhi / Taekhoon,
104-A,6G spectrum (part I),[118][104-A] 6G spectrum (part I),FS_6G_Radio,"6G spectrum: definition of frequency range, band and band combination defintion and simplification",8.5,8.1,"Johannes Hejselbaek
", ,Tina / Taekhoon,
104-B,6G spectrum (part II),[118][104-B] 6G spectrum (part II),FS_6G_Radio,"6G spectrum: band group concept study, spectrum related regulatory survey ",8.5,8.1,"Bo Liu
", ,Tina / Taekhoon,
105-A,6G RRM (part I),[118][105-A] 6G RRM (part I),FS_6G_Radio,"6G RRM: RRM framework, others",8.6,8.1,Jerry Cui, ,Yanze / Dong / Xinyan,
105-B,6G RRM (part II),[118][105-B] 6G RRM (part II),FS_6G_Radio,6G RRM: measuremeng gap,8.6,8.1,Jinyup Hwang, ,Yanze / Dong / Xinyan,
107,6G AI,[118][107] 6G AI,FS_6G_Radio,6G AI,8.8,8.1,Jackson Wang, ,Jackson / Tina / Xiaoming / Yanze / Dong / Lili,
108,6G spectrum sharing,[118][108] 6G spectrum sharing,FS_6G_Radio,6G spectrum sharing,8.9,8.1,Jingjing Chen, ,Bozhi,
